context,moment,screen,apk_path,ios_path,layout,colors,typography,spacing,icons,empty_state,hero,animation,overall,gap_notes,priority,screenshot_apk,screenshot_ios
BUSINESS,BusinessPulse,Pulse,apk/app/src/main/java/com/example/momentra/ui/shell/business/BusinessPulseActiveContent.kt,momentra/momentra/Shell/BusinessActive/BusinessPulseActiveView.swift,1,2,2,2,1,2,2,2,PARTIAL,"THIN_IOS: APK 397 vs iOS 235 lines. Section overlap 40% (APK 5 composables, iOS 4 sections). SF Symbol fallbacks present on iOS.",P1,docs/qa/screenshots/ios-apk-parity/apk/BusinessPulseActiveContent.png,docs/qa/screenshots/ios-apk-parity/ios/BusinessPulseActiveView.png
BUSINESS,BusinessQuickAddHub,Hub,apk/app/src/main/java/com/example/momentra/ui/shell/business/BusinessQuickAddHub.kt,momentra/momentra/Shell/BusinessActive/BusinessQuickAddHub.swift,1,0,2,2,2,1,2,2,PARTIAL,"THIN_IOS: APK 351 vs iOS 194 lines. Section overlap 0% (APK 3 composables, iOS 0 sections).",P1,docs/qa/screenshots/ios-apk-parity/apk/BusinessQuickAddHub.png,docs/qa/screenshots/ios-apk-parity/ios/BusinessQuickAddHub.png
BUSINESS,CompanyLife,Life,apk/app/src/main/java/com/example/momentra/ui/shell/business/life/CompanyLifeActiveContent.kt,momentra/momentra/Shell/BusinessActive/BusinessLifeActiveView.swift,2,2,2,2,2,2,2,2,MATCH,,P3,docs/qa/screenshots/ios-apk-parity/apk/CompanyLifeActiveContent.png,docs/qa/screenshots/ios-apk-parity/ios/BusinessLifeActiveView.png
BUSINESS,OpsMemory,Memory,apk/app/src/main/java/com/example/momentra/ui/shell/business/ops/OpsMemoryActiveContent.kt,momentra/momentra/Shell/BusinessActive/Ops/OpsMemoryActiveView.swift,2,2,2,2,2,2,2,2,MATCH,,P3,docs/qa/screenshots/ios-apk-parity/apk/OpsMemoryActiveContent.png,docs/qa/screenshots/ios-apk-parity/ios/OpsMemoryActiveView.png
BUSINESS,OpsMoments,Moments,apk/app/src/main/java/com/example/momentra/ui/shell/business/ops/OpsMomentsActiveContent.kt,momentra/momentra/Shell/BusinessActive/Ops/OpsMomentsActiveView.swift,2,2,2,2,2,2,2,2,MATCH,,P3,docs/qa/screenshots/ios-apk-parity/apk/OpsMomentsActiveContent.png,docs/qa/screenshots/ios-apk-parity/ios/OpsMomentsActiveView.png
BUSINESS,OpsPulse,Pulse,apk/app/src/main/java/com/example/momentra/ui/shell/business/ops/OpsPulseActiveContent.kt,momentra/momentra/Shell/BusinessActive/Ops/OpsPulseActiveView.swift,1,2,2,2,2,2,2,2,MATCH,,P3,docs/qa/screenshots/ios-apk-parity/apk/OpsPulseActiveContent.png,docs/qa/screenshots/ios-apk-parity/ios/OpsPulseActiveView.png
BUSINESS,RunwayMemory,Memory,apk/app/src/main/java/com/example/momentra/ui/shell/business/runway/RunwayMemoryActiveContent.kt,momentra/momentra/Shell/BusinessActive/Runway/RunwayMemoryActiveView.swift,2,2,2,2,2,2,2,2,MATCH,,P3,docs/qa/screenshots/ios-apk-parity/apk/RunwayMemoryActiveContent.png,docs/qa/screenshots/ios-apk-parity/ios/RunwayMemoryActiveView.png
BUSINESS,RunwayMoments,Moments,apk/app/src/main/java/com/example/momentra/ui/shell/business/runway/RunwayMomentsActiveContent.kt,momentra/momentra/Shell/BusinessActive/Runway/RunwayMomentsActiveView.swift,1,2,2,2,2,2,2,2,MATCH,,P3,docs/qa/screenshots/ios-apk-parity/apk/RunwayMomentsActiveContent.png,docs/qa/screenshots/ios-apk-parity/ios/RunwayMomentsActiveView.png
BUSINESS,RunwayPulse,Pulse,apk/app/src/main/java/com/example/momentra/ui/shell/business/runway/RunwayPulseActiveContent.kt,momentra/momentra/Shell/BusinessActive/Runway/RunwayPulseActiveView.swift,2,2,2,2,2,2,2,2,MATCH,,P3,docs/qa/screenshots/ios-apk-parity/apk/RunwayPulseActiveContent.png,docs/qa/screenshots/ios-apk-parity/ios/RunwayPulseActiveView.png
BUSINESS,TeamOpsMemory,Memory,apk/app/src/main/java/com/example/momentra/ui/shell/business/teamops/TeamOpsMemoryActiveContent.kt,momentra/momentra/Shell/BusinessActive/TeamOps/TeamOpsMemoryActiveView.swift,2,2,2,2,2,2,2,2,MATCH,,P3,docs/qa/screenshots/ios-apk-parity/apk/TeamOpsMemoryActiveContent.png,docs/qa/screenshots/ios-apk-parity/ios/TeamOpsMemoryActiveView.png
BUSINESS,TeamOpsMoments,Moments,apk/app/src/main/java/com/example/momentra/ui/shell/business/teamops/TeamOpsMomentsActiveContent.kt,momentra/momentra/Shell/BusinessActive/TeamOps/TeamOpsMomentsActiveView.swift,2,2,2,2,2,2,2,2,MATCH,,P3,docs/qa/screenshots/ios-apk-parity/apk/TeamOpsMomentsActiveContent.png,docs/qa/screenshots/ios-apk-parity/ios/TeamOpsMomentsActiveView.png
BUSINESS,TeamOpsPulse,Pulse,apk/app/src/main/java/com/example/momentra/ui/shell/business/teamops/TeamOpsPulseActiveContent.kt,momentra/momentra/Shell/BusinessActive/TeamOps/TeamOpsPulseActiveView.swift,2,2,2,2,2,2,2,2,MATCH,,P3,docs/qa/screenshots/ios-apk-parity/apk/TeamOpsPulseActiveContent.png,docs/qa/screenshots/ios-apk-parity/ios/TeamOpsPulseActiveView.png
GLOBAL,—,Circle Coming Soon,apk/app/src/main/java/com/example/momentra/ui/shell/circle/CircleComingSoonContent.kt,momentra/momentra/Shell/Circle/CircleComingSoonView.swift,1,2,1,2,1,1,2,2,PARTIAL,"Section overlap 0% (APK 3 composables, iOS 0 sections). SF Symbol fallbacks present on iOS.",P3,docs/qa/screenshots/ios-apk-parity/apk/CircleComingSoonContent.png,docs/qa/screenshots/ios-apk-parity/ios/CircleComingSoonView.png
SHELL,—,Company Switcher,apk/app/src/main/java/com/example/momentra/ui/shell/components/CompanySwitcher.kt,momentra/momentra/Shell/Components/ShellChrome.swift,2,2,1,2,1,1,2,2,PARTIAL,SF Symbol fallbacks present on iOS.,P3,docs/qa/screenshots/ios-apk-parity/apk/CompanySwitcher.png,docs/qa/screenshots/ios-apk-parity/ios/CompanySwitcher.png
SHELL,—,Context Switcher,apk/app/src/main/java/com/example/momentra/ui/shell/components/ContextSwitcher.kt,momentra/momentra/Shell/Components/ShellChrome.swift,2,2,1,2,1,1,2,2,PARTIAL,SF Symbol fallbacks present on iOS.,P3,docs/qa/screenshots/ios-apk-parity/apk/ContextSwitcher.png,docs/qa/screenshots/ios-apk-parity/ios/ContextSwitcher.png
GLOBAL,—,Life360 Coming Soon,apk/app/src/main/java/com/example/momentra/ui/shell/components/Life360ComingSoon.kt,momentra/momentra/Shell/Components/Life360ComingSoonView.swift,1,2,1,2,1,1,2,2,PARTIAL,"Section overlap 0% (APK 3 composables, iOS 0 sections). SF Symbol fallbacks present on iOS.",P3,docs/qa/screenshots/ios-apk-parity/apk/Life360ComingSoon.png,docs/qa/screenshots/ios-apk-parity/ios/Life360ComingSoonView.png
SHELL,—,Moment Switcher,apk/app/src/main/java/com/example/momentra/ui/shell/components/MomentSwitcher.kt,momentra/momentra/Shell/Components/ShellChrome.swift,2,2,1,2,1,1,2,2,PARTIAL,SF Symbol fallbacks present on iOS.,P3,docs/qa/screenshots/ios-apk-parity/apk/MomentSwitcher.png,docs/qa/screenshots/ios-apk-parity/ios/MomentSwitcher.png
SHELL,—,TopBar,apk/app/src/main/java/com/example/momentra/ui/shell/components/MomentraTopBar.kt,momentra/momentra/Shell/Components/ShellChrome.swift,2,2,1,2,1,1,2,2,PARTIAL,"Section overlap 0% (APK 3 composables, iOS 2 sections). SF Symbol fallbacks present on iOS.",P3,docs/qa/screenshots/ios-apk-parity/apk/MomentraTopBar.png,docs/qa/screenshots/ios-apk-parity/ios/MomentraTopBar.png
SHELL,—,Bottom Nav,apk/app/src/main/java/com/example/momentra/ui/shell/components/ShellBottomNavigation.kt,momentra/momentra/Shell/Components/ShellChrome.swift,2,2,2,2,2,2,2,2,MATCH,ShellBottomNavigationView mirrors APK custom bar + accent FAB (post-remediation),P0,docs/qa/screenshots/ios-apk-parity/apk/ShellBottomNavigation.png,docs/qa/screenshots/ios-apk-parity/ios/ShellBottomNavigationView.png
BUSINESS,BusinessCreate,Create,apk/app/src/main/java/com/example/momentra/ui/shell/empty/BusinessCreateEmptyContent.kt,momentra/momentra/Shell/BusinessCreateEmptyView.swift,1,2,1,2,2,1,2,2,PARTIAL,,P3,docs/qa/screenshots/ios-apk-parity/apk/BusinessCreateEmptyContent.png,docs/qa/screenshots/ios-apk-parity/ios/BusinessCreateEmptyView.png
BUSINESS,BusinessLife,Life,apk/app/src/main/java/com/example/momentra/ui/shell/empty/BusinessLifeEmptyContent.kt,momentra/momentra/Shell/BusinessLifeEmptyView.swift,1,2,1,2,2,1,2,2,PARTIAL,THIN_IOS: APK 148 vs iOS 94 lines.,P1,docs/qa/screenshots/ios-apk-parity/apk/BusinessLifeEmptyContent.png,docs/qa/screenshots/ios-apk-parity/ios/BusinessLifeEmptyView.png
BUSINESS,BusinessMemory,Memory,apk/app/src/main/java/com/example/momentra/ui/shell/empty/BusinessMemoryEmptyContent.kt,momentra/momentra/Shell/BusinessMemoryEmptyView.swift,1,2,1,2,2,1,2,2,PARTIAL,,P3,docs/qa/screenshots/ios-apk-parity/apk/BusinessMemoryEmptyContent.png,docs/qa/screenshots/ios-apk-parity/ios/BusinessMemoryEmptyView.png
BUSINESS,BusinessMoments,Moments,apk/app/src/main/java/com/example/momentra/ui/shell/empty/BusinessMomentsEmptyContent.kt,momentra/momentra/Shell/BusinessMomentsEmptyView.swift,1,2,1,2,2,1,2,2,PARTIAL,,P3,docs/qa/screenshots/ios-apk-parity/apk/BusinessMomentsEmptyContent.png,docs/qa/screenshots/ios-apk-parity/ios/BusinessMomentsEmptyView.png
BUSINESS,BusinessPulse,Pulse,apk/app/src/main/java/com/example/momentra/ui/shell/empty/BusinessPulseEmptyContent.kt,momentra/momentra/Shell/BusinessPulseEmptyView.swift,1,2,1,2,2,1,2,2,PARTIAL,,P3,docs/qa/screenshots/ios-apk-parity/apk/BusinessPulseEmptyContent.png,docs/qa/screenshots/ios-apk-parity/ios/BusinessPulseEmptyView.png
GROUP,GroupLife,Life,apk/app/src/main/java/com/example/momentra/ui/shell/empty/group/GroupLifeEmptyContent.kt,momentra/momentra/Shell/GroupEmpty/GroupLifeEmptyView.swift,1,0,1,2,2,1,2,2,PARTIAL,"Section overlap 0% (APK 4 composables, iOS 0 sections).",P3,docs/qa/screenshots/ios-apk-parity/apk/GroupLifeEmptyContent.png,docs/qa/screenshots/ios-apk-parity/ios/GroupLifeEmptyView.png
GROUP,GroupMemory,Memory,apk/app/src/main/java/com/example/momentra/ui/shell/empty/group/GroupMemoryEmptyContent.kt,momentra/momentra/Shell/GroupEmpty/GroupMemoryEmptyView.swift,2,0,1,2,2,1,2,2,PARTIAL,,P3,docs/qa/screenshots/ios-apk-parity/apk/GroupMemoryEmptyContent.png,docs/qa/screenshots/ios-apk-parity/ios/GroupMemoryEmptyView.png
GROUP,GroupMoments,Moments,apk/app/src/main/java/com/example/momentra/ui/shell/empty/group/GroupMomentsEmptyContent.kt,momentra/momentra/Shell/GroupEmpty/GroupMomentsEmptyView.swift,1,2,1,2,2,1,2,2,PARTIAL,"Section overlap 0% (APK 4 composables, iOS 0 sections).",P3,docs/qa/screenshots/ios-apk-parity/apk/GroupMomentsEmptyContent.png,docs/qa/screenshots/ios-apk-parity/ios/GroupMomentsEmptyView.png
GROUP,GroupPulse,Pulse,apk/app/src/main/java/com/example/momentra/ui/shell/empty/group/GroupPulseEmptyContent.kt,momentra/momentra/Shell/GroupEmpty/GroupPulseEmptyView.swift,1,2,1,2,2,1,2,2,PARTIAL,,P3,docs/qa/screenshots/ios-apk-parity/apk/GroupPulseEmptyContent.png,docs/qa/screenshots/ios-apk-parity/ios/GroupPulseEmptyView.png
PERSONAL,PersonalCreate,Create,apk/app/src/main/java/com/example/momentra/ui/shell/empty/personal/PersonalCreateEmptyContent.kt,momentra/momentra/Shell/PersonalEmpty/PersonalCreateEmptyView.swift,0,0,2,1,2,1,2,2,PARTIAL,"THIN_IOS: APK 440 vs iOS 221 lines. Section overlap 25% (APK 4 composables, iOS 1 sections).",P1,docs/qa/screenshots/ios-apk-parity/apk/PersonalCreateEmptyContent.png,docs/qa/screenshots/ios-apk-parity/ios/PersonalCreateEmptyView.png
PERSONAL,PersonalMemory,Memory,apk/app/src/main/java/com/example/momentra/ui/shell/empty/personal/PersonalMemoryEmptyContent.kt,momentra/momentra/Shell/PersonalEmpty/PersonalMemoryEmptyView.swift,2,0,1,2,2,1,2,2,PARTIAL,,P3,docs/qa/screenshots/ios-apk-parity/apk/PersonalMemoryEmptyContent.png,docs/qa/screenshots/ios-apk-parity/ios/PersonalMemoryEmptyView.png
PERSONAL,PersonalMoments,Moments,apk/app/src/main/java/com/example/momentra/ui/shell/empty/personal/PersonalMomentsEmptyContent.kt,momentra/momentra/Shell/PersonalEmpty/PersonalMomentsEmptyView.swift,2,0,2,2,2,1,2,2,PARTIAL,THIN_IOS: APK 460 vs iOS 286 lines.,P1,docs/qa/screenshots/ios-apk-parity/apk/PersonalMomentsEmptyContent.png,docs/qa/screenshots/ios-apk-parity/ios/PersonalMomentsEmptyView.png
PERSONAL,PersonalPulse,Pulse,apk/app/src/main/java/com/example/momentra/ui/shell/empty/personal/PersonalPulseEmptyContent.kt,momentra/momentra/Shell/PersonalEmpty/PersonalPulseEmptyView.swift,1,0,2,2,2,1,2,2,PARTIAL,THIN_IOS: APK 502 vs iOS 310 lines.,P1,docs/qa/screenshots/ios-apk-parity/apk/PersonalPulseEmptyContent.png,docs/qa/screenshots/ios-apk-parity/ios/PersonalPulseEmptyView.png
GROUP,GroupLife,Life,apk/app/src/main/java/com/example/momentra/ui/shell/group/GroupLifeActiveContent.kt,momentra/momentra/Shell/GroupActive/GroupLifeActiveView.swift,1,0,2,2,2,2,2,2,PARTIAL,"Section overlap 10% (APK 10 composables, iOS 1 sections).",P3,docs/qa/screenshots/ios-apk-parity/apk/GroupLifeActiveContent.png,docs/qa/screenshots/ios-apk-parity/ios/GroupLifeActiveView.png
GROUP,GroupMemory,Memory,apk/app/src/main/java/com/example/momentra/ui/shell/group/GroupMemoryActiveContent.kt,momentra/momentra/Shell/GroupActive/GroupMemoryActiveView.swift,1,0,2,2,2,2,2,2,PARTIAL,"Section overlap 0% (APK 4 composables, iOS 0 sections).",P3,docs/qa/screenshots/ios-apk-parity/apk/GroupMemoryActiveContent.png,docs/qa/screenshots/ios-apk-parity/ios/GroupMemoryActiveView.png
GROUP,GroupMoments,Moments,apk/app/src/main/java/com/example/momentra/ui/shell/group/GroupMomentsActiveContent.kt,momentra/momentra/Shell/GroupActive/GroupMomentsActiveView.swift,2,0,2,2,2,2,2,2,PARTIAL,,P3,docs/qa/screenshots/ios-apk-parity/apk/GroupMomentsActiveContent.png,docs/qa/screenshots/ios-apk-parity/ios/GroupMomentsActiveView.png
GROUP,GroupPulse,Pulse,apk/app/src/main/java/com/example/momentra/ui/shell/group/GroupPulseActiveContent.kt,momentra/momentra/Shell/GroupActive/GroupPulseActiveView.swift,1,1,2,2,2,2,2,1,PARTIAL,"Section overlap 25% (APK 8 composables, iOS 2 sections).",P3,docs/qa/screenshots/ios-apk-parity/apk/GroupPulseActiveContent.png,docs/qa/screenshots/ios-apk-parity/ios/GroupPulseActiveView.png
GROUP,GroupQuickAddHub,Hub,apk/app/src/main/java/com/example/momentra/ui/shell/group/GroupQuickAddHub.kt,momentra/momentra/Shell/GroupActive/GroupQuickAddHubView.swift,1,0,2,2,1,1,2,2,PARTIAL,"THIN_IOS: APK 351 vs iOS 206 lines. Section overlap 0% (APK 3 composables, iOS 0 sections). SF Symbol fallbacks present on iOS.",P1,docs/qa/screenshots/ios-apk-parity/apk/GroupQuickAddHub.png,docs/qa/screenshots/ios-apk-parity/ios/GroupQuickAddHubView.png
GROUP,ExperienceMemory,Memory,apk/app/src/main/java/com/example/momentra/ui/shell/group/experience/ExperienceMemoryActiveContent.kt,momentra/momentra/Shell/GroupActive/Experience/ExperienceMemoryActiveView.swift,2,2,2,2,2,2,2,2,MATCH,,P3,docs/qa/screenshots/ios-apk-parity/apk/ExperienceMemoryActiveContent.png,docs/qa/screenshots/ios-apk-parity/ios/ExperienceMemoryActiveView.png
GROUP,ExperienceMoments,Moments,apk/app/src/main/java/com/example/momentra/ui/shell/group/experience/ExperienceMomentsActiveContent.kt,momentra/momentra/Shell/GroupActive/Experience/ExperienceMomentsActiveView.swift,2,2,2,2,2,2,2,2,MATCH,,P3,docs/qa/screenshots/ios-apk-parity/apk/ExperienceMomentsActiveContent.png,docs/qa/screenshots/ios-apk-parity/ios/ExperienceMomentsActiveView.png
GROUP,ExperiencePulse,Pulse,apk/app/src/main/java/com/example/momentra/ui/shell/group/experience/ExperiencePulseActiveContent.kt,momentra/momentra/Shell/GroupActive/Experience/ExperiencePulseActiveView.swift,2,0,2,2,2,2,2,2,PARTIAL,"Section overlap 0% (APK 5 composables, iOS 1 sections).",P3,docs/qa/screenshots/ios-apk-parity/apk/ExperiencePulseActiveContent.png,docs/qa/screenshots/ios-apk-parity/ios/ExperiencePulseActiveView.png
GROUP,ExperienceQuickAddHub,Hub,apk/app/src/main/java/com/example/momentra/ui/shell/group/experience/ExperienceQuickAddHub.kt,momentra/momentra/Shell/GroupActive/Experience/ExperienceQuickAddHubView.swift,1,0,2,2,1,1,2,2,PARTIAL,SF Symbol fallbacks present on iOS.,P3,docs/qa/screenshots/ios-apk-parity/apk/ExperienceQuickAddHub.png,docs/qa/screenshots/ios-apk-parity/ios/ExperienceQuickAddHubView.png
GROUP,LivingMemory,Memory,apk/app/src/main/java/com/example/momentra/ui/shell/group/living/LivingMemoryActiveContent.kt,momentra/momentra/Shell/GroupActive/Living/LivingMemoryActiveView.swift,2,2,2,2,2,2,2,2,MATCH,,P3,docs/qa/screenshots/ios-apk-parity/apk/LivingMemoryActiveContent.png,docs/qa/screenshots/ios-apk-parity/ios/LivingMemoryActiveView.png
GROUP,LivingMoments,Moments,apk/app/src/main/java/com/example/momentra/ui/shell/group/living/LivingMomentsActiveContent.kt,momentra/momentra/Shell/GroupActive/Living/LivingMomentsActiveView.swift,2,2,2,2,2,2,2,2,MATCH,,P3,docs/qa/screenshots/ios-apk-parity/apk/LivingMomentsActiveContent.png,docs/qa/screenshots/ios-apk-parity/ios/LivingMomentsActiveView.png
GROUP,LivingPulse,Pulse,apk/app/src/main/java/com/example/momentra/ui/shell/group/living/LivingPulseActiveContent.kt,momentra/momentra/Shell/GroupActive/Living/LivingPulseActiveView.swift,2,0,2,2,1,2,2,2,PARTIAL,SF Symbol fallbacks present on iOS.,P3,docs/qa/screenshots/ios-apk-parity/apk/LivingPulseActiveContent.png,docs/qa/screenshots/ios-apk-parity/ios/LivingPulseActiveView.png
GROUP,LivingQuickAddHub,Hub,apk/app/src/main/java/com/example/momentra/ui/shell/group/living/LivingQuickAddHub.kt,momentra/momentra/Shell/GroupActive/Living/LivingQuickAddHubView.swift,1,0,2,2,1,1,2,2,PARTIAL,SF Symbol fallbacks present on iOS.,P3,docs/qa/screenshots/ios-apk-parity/apk/LivingQuickAddHub.png,docs/qa/screenshots/ios-apk-parity/ios/LivingQuickAddHubView.png
GROUP,PurchaseMemory,Memory,apk/app/src/main/java/com/example/momentra/ui/shell/group/purchase/PurchaseMemoryActiveContent.kt,momentra/momentra/Shell/GroupActive/Purchase/PurchaseMemoryActiveView.swift,2,2,2,2,2,2,2,2,MATCH,,P3,docs/qa/screenshots/ios-apk-parity/apk/PurchaseMemoryActiveContent.png,docs/qa/screenshots/ios-apk-parity/ios/PurchaseMemoryActiveView.png
GROUP,PurchaseMoments,Moments,apk/app/src/main/java/com/example/momentra/ui/shell/group/purchase/PurchaseMomentsActiveContent.kt,momentra/momentra/Shell/GroupActive/Purchase/PurchaseMomentsActiveView.swift,2,2,2,2,2,2,2,2,MATCH,,P3,docs/qa/screenshots/ios-apk-parity/apk/PurchaseMomentsActiveContent.png,docs/qa/screenshots/ios-apk-parity/ios/PurchaseMomentsActiveView.png
GROUP,PurchasePulse,Pulse,apk/app/src/main/java/com/example/momentra/ui/shell/group/purchase/PurchasePulseActiveContent.kt,momentra/momentra/Shell/GroupActive/Purchase/PurchasePulseActiveView.swift,2,0,2,2,1,2,2,2,PARTIAL,SF Symbol fallbacks present on iOS.,P3,docs/qa/screenshots/ios-apk-parity/apk/PurchasePulseActiveContent.png,docs/qa/screenshots/ios-apk-parity/ios/PurchasePulseActiveView.png
GROUP,PurchaseQuickAddHub,Hub,apk/app/src/main/java/com/example/momentra/ui/shell/group/purchase/PurchaseQuickAddHub.kt,momentra/momentra/Shell/GroupActive/Purchase/PurchaseQuickAddHubView.swift,1,0,2,2,1,1,2,2,PARTIAL,SF Symbol fallbacks present on iOS.,P3,docs/qa/screenshots/ios-apk-parity/apk/PurchaseQuickAddHub.png,docs/qa/screenshots/ios-apk-parity/ios/PurchaseQuickAddHubView.png
GROUP,WeddingMemory,Memory,apk/app/src/main/java/com/example/momentra/ui/shell/group/wedding/WeddingMemoryActiveContent.kt,momentra/momentra/Shell/GroupActive/Wedding/WeddingMemoryActiveView.swift,1,2,2,2,2,2,2,2,MATCH,,P3,docs/qa/screenshots/ios-apk-parity/apk/WeddingMemoryActiveContent.png,docs/qa/screenshots/ios-apk-parity/ios/WeddingMemoryActiveView.png
GROUP,WeddingMoments,Moments,apk/app/src/main/java/com/example/momentra/ui/shell/group/wedding/WeddingMomentsActiveContent.kt,momentra/momentra/Shell/GroupActive/Wedding/WeddingMomentsActiveView.swift,2,2,2,2,2,2,1,2,MATCH,,P3,docs/qa/screenshots/ios-apk-parity/apk/WeddingMomentsActiveContent.png,docs/qa/screenshots/ios-apk-parity/ios/WeddingMomentsActiveView.png
GROUP,WeddingPulse,Pulse,apk/app/src/main/java/com/example/momentra/ui/shell/group/wedding/WeddingPulseActiveContent.kt,momentra/momentra/Shell/GroupActive/Wedding/WeddingPulseActiveView.swift,1,2,2,2,2,2,2,2,MATCH,THIN_IOS: APK 480 vs iOS 304 lines.,P1,docs/qa/screenshots/ios-apk-parity/apk/WeddingPulseActiveContent.png,docs/qa/screenshots/ios-apk-parity/ios/WeddingPulseActiveView.png
GROUP,WeddingQuickAddHub,Hub,apk/app/src/main/java/com/example/momentra/ui/shell/group/wedding/WeddingQuickAddHub.kt,momentra/momentra/Shell/GroupActive/Wedding/WeddingQuickAddHubView.swift,2,0,2,2,1,1,2,2,PARTIAL,"Section overlap 0% (APK 3 composables, iOS 0 sections). SF Symbol fallbacks present on iOS.",P3,docs/qa/screenshots/ios-apk-parity/apk/WeddingQuickAddHub.png,docs/qa/screenshots/ios-apk-parity/ios/WeddingQuickAddHubView.png
PERSONAL,PersonalFutureMemory,Memory,apk/app/src/main/java/com/example/momentra/ui/shell/personal/PersonalFutureMemoryActiveContent.kt,momentra/momentra/Shell/PersonalEmpty/PersonalFutureMemoryActiveView.swift,2,0,1,2,1,2,2,2,PARTIAL,SF Symbol fallbacks present on iOS.,P3,docs/qa/screenshots/ios-apk-parity/apk/PersonalFutureMemoryActiveContent.png,docs/qa/screenshots/ios-apk-parity/ios/PersonalFutureMemoryActiveView.png
