Platform,File,Line,Pattern,Snippet,ParentGap,Surface
iOS,momentra/momentra/Shell/Circle/CircleComingSoonView.swift,24,coming_soon,"Text(""COMING SOON"")",SP-013,CircleComingSoonView
Android,apk/app/src/main/java/com/example/momentra/ui/shell/AppShellScreen.kt,319,coming_soon,"""Referrals coming soon"",",SP-013,AppShellScreen
Android,apk/app/src/main/java/com/example/momentra/ui/shell/AppShellScreen.kt,1132,coming_soon,// Legacy slot — Circle now uses Empty + Coming Soon; keep panel for any residual Deferred.,SP-013,AppShellScreen
Android,apk/app/src/main/java/com/example/momentra/ui/shell/AppShellViewModel.kt,265,coming_soon,// S6: Circle Coming Soon — Empty (not Deferred); no Circle API fetch.,SP-013,AppShellViewModel
Android,apk/app/src/main/java/com/example/momentra/ui/shell/personal/PersonalFinancePickerSheets.kt,480,coming_soon,"""Balance tracking coming soon."",",SP-013,PersonalFinancePickerSheets
Android,apk/app/src/main/java/com/example/momentra/ui/shell/personal/PersonalFutureMomentsActiveContent.kt,535,coming_soon,"Text(""Coming Soon"", color = PurpleSoft, fontSize = 10.sp, fontWeight = FontWeight.ExtraBold, fontFamily = PlusJakartaSan",SP-013,PersonalFutureMomentsActiveContent
Android,apk/app/src/main/java/com/example/momentra/ui/shell/personal/PersonalRelationshipsPulseActiveContent.kt,573,coming_soon,"Text(""Coming Soon"", color = RelPink, fontSize = 12.sp, fontWeight = FontWeight.Bold, fontFamily = PlusJakartaSans)",SP-013,PersonalRelationshipsPulseActiveContent
Android,apk/app/src/main/java/com/example/momentra/ui/shell/personal/PersonalPulseActiveContent.kt,635,coming_soon,// AI Insights — Figma Coming Soon,SP-013,PersonalPulseActiveContent
Android,apk/app/src/main/java/com/example/momentra/ui/shell/personal/PersonalPulseActiveContent.kt,661,coming_soon,"""Coming Soon"",",SP-013,PersonalPulseActiveContent
Android,apk/app/src/main/java/com/example/momentra/ui/shell/personal/PersonalLifeOpsMemoryActiveContent.kt,502,coming_soon,"Text(""Coming Soon"", color = PurpleSoft, fontSize = 10.sp, fontWeight = FontWeight.ExtraBold, fontFamily = PlusJakartaSan",SP-013,PersonalLifeOpsMemoryActiveContent
Android,apk/app/src/main/java/com/example/momentra/ui/shell/personal/PersonalLifeOpsMomentsActiveContent.kt,487,coming_soon,"Text(""Coming Soon"", color = PurpleSoft, fontSize = 10.sp, fontWeight = FontWeight.ExtraBold, fontFamily = PlusJakartaSan",SP-013,PersonalLifeOpsMomentsActiveContent
Android,apk/app/src/main/java/com/example/momentra/ui/shell/personal/PersonalFutureMemoryActiveContent.kt,461,coming_soon,"Text(""Coming Soon"", color = PurpleSoft, fontSize = 10.sp, fontWeight = FontWeight.ExtraBold, fontFamily = PlusJakartaSan",SP-013,PersonalFutureMemoryActiveContent
Android,apk/app/src/main/java/com/example/momentra/ui/shell/empty/BusinessCreateMomentContent.kt,366,coming_soon,"text = ""Coming Soon"",",SP-013,BusinessCreateMomentContent
Android,apk/app/src/main/java/com/example/momentra/ui/shell/empty/group/GroupEmptyShared.kt,343,coming_soon,"""Coming Soon"",",SP-013,GroupEmptyShared
Android,apk/app/src/main/java/com/example/momentra/ui/shell/group/GroupPulseActiveContent.kt,227,kotlin_disabled,"GroupQuickChip(label = ""$openTasks tasks"", enabled = false, onClick = {})",GRP-004,Group Pulse quick tiles
Android,apk/app/src/main/java/com/example/momentra/ui/shell/group/GroupPulseActiveContent.kt,228,kotlin_disabled,"GroupQuickChip(label = ""$participantCount people"", enabled = false, onClick = {})",GRP-004,Group Pulse quick tiles
Android,apk/app/src/main/java/com/example/momentra/ui/shell/group/GroupPulseActiveContent.kt,229,kotlin_disabled,"GroupQuickChip(label = ""$expenseCount expenses"", enabled = false, onClick = {})",GRP-004,Group Pulse quick tiles
Android,apk/app/src/main/java/com/example/momentra/ui/shell/group/GroupPulseActiveContent.kt,240,coming_soon,"detail = ""Group health scoring is coming soon — no invented numbers."",",GRP-004,Group Pulse quick tiles
Android,apk/app/src/main/java/com/example/momentra/ui/shell/group/GroupPulseActiveContent.kt,243,coming_soon,"GroupProgressRing(percent = 0, centerLabel = ""—"", centerSub = ""Coming soon"")",GRP-004,Group Pulse quick tiles
Android,apk/app/src/main/java/com/example/momentra/ui/shell/group/GroupLifeActiveContent.kt,249,coming_soon,"HonestEmptyCard(""Sparklines need month-over-month history (coming soon)."")",SP-013,GroupLifeActiveContent
Android,apk/app/src/main/java/com/example/momentra/ui/shell/group/GroupActiveTheme.kt,205,coming_soon,"""Coming Soon"",",SP-013,GroupActiveTheme
Android,apk/app/src/main/java/com/example/momentra/ui/shell/group/GroupMemoryActiveContent.kt,222,coming_soon,"message = ""Insights coming soon"",",GRP-008,Group Memory
Android,apk/app/src/main/java/com/example/momentra/ui/shell/group/experience/ExperienceMemoryActiveContent.kt,212,coming_soon,"ExperienceEmptyBlock(theme, ""Insights coming soon"", ""AI memory intelligence for groups is on the roadmap — no invented c",SP-013,ExperienceMemoryActiveContent
Android,apk/app/src/main/java/com/example/momentra/ui/shell/group/living/LivingMemoryActiveContent.kt,217,coming_soon,"LivingEmptyBlock(theme, ""Insights coming soon"", ""AI memory intelligence for groups is on the roadmap — no invented copy.",SP-013,LivingMemoryActiveContent
Android,apk/app/src/main/java/com/example/momentra/ui/shell/group/wedding/WeddingPulseActiveContent.kt,222,coming_soon,"detail = ""Health scoring is coming soon — no invented numbers."",",SP-013,WeddingPulseActiveContent
Android,apk/app/src/main/java/com/example/momentra/ui/shell/group/wedding/WeddingMemoryActiveContent.kt,272,coming_soon,"message = ""Insights coming soon"",",SP-013,WeddingMemoryActiveContent
Android,apk/app/src/main/java/com/example/momentra/ui/shell/group/purchase/PurchaseMemoryActiveContent.kt,213,coming_soon,"PurchaseEmptyBlock(theme, ""Insights coming soon"", ""AI memory intelligence for groups is on the roadmap — no invented cop",SP-013,PurchaseMemoryActiveContent
Android,apk/app/src/main/java/com/example/momentra/ui/shell/business/BusinessQuickAddSheets.kt,47,coming_soon,/** Business Quick Add sheets — theme accent; GAP kinds use disabled Coming soon CTA. */,BUS-001,Business Action Center
Android,apk/app/src/main/java/com/example/momentra/ui/shell/business/BusinessQuickAddSheets.kt,213,coming_soon,"""API not wired for this Action Center command yet — Coming soon."",",BUS-001,Business Action Center
Android,apk/app/src/main/java/com/example/momentra/ui/shell/business/BusinessQuickAddSheets.kt,213,not_wired,"""API not wired for this Action Center command yet — Coming soon."",",BUS-001,Business Action Center
Android,apk/app/src/main/java/com/example/momentra/ui/shell/business/BusinessQuickAddSheets.kt,213,api_not_wired,"""API not wired for this Action Center command yet — Coming soon."",",BUS-001,Business Action Center
Android,apk/app/src/main/java/com/example/momentra/ui/shell/business/BusinessQuickAddSheets.kt,227,coming_soon,"""Coming soon"",",BUS-001,Business Action Center
Android,apk/app/src/main/java/com/example/momentra/ui/shell/components/ShellLaunchers.kt,109,coming_soon,"ShellMessageState(title = ""Coming soon"", body = ""This surface is not available yet."")",SP-013,ShellLaunchers
Android,apk/app/src/main/java/com/example/momentra/ui/shell/components/Life360ComingSoon.kt,59,coming_soon,* Figma `1075:7637` Life 360 Coming Soon — static local UI only.,SP-013,Life360ComingSoon
Android,apk/app/src/main/java/com/example/momentra/ui/shell/components/Life360ComingSoon.kt,73,coming_soon,".semantics { contentDescription = ""Life360 Coming Soon"" },",SP-013,Life360ComingSoon
Android,apk/app/src/main/java/com/example/momentra/ui/shell/components/Life360ComingSoon.kt,103,coming_soon,"text = ""COMING SOON"",",SP-013,Life360ComingSoon
Android,apk/app/src/main/java/com/example/momentra/ui/shell/circle/CircleComingSoonContent.kt,59,coming_soon,* Figma `1075:7556` Circle Coming Soon — static local UI in Circle context.,SP-013,CircleComingSoonContent
Android,apk/app/src/main/java/com/example/momentra/ui/shell/circle/CircleComingSoonContent.kt,77,coming_soon,".semantics { contentDescription = ""Circle Coming Soon"" },",SP-013,CircleComingSoonContent
Android,apk/app/src/main/java/com/example/momentra/ui/shell/circle/CircleComingSoonContent.kt,104,coming_soon,"text = ""COMING SOON"",",SP-013,CircleComingSoonContent
Android,apk/app/src/main/java/com/example/momentra/ui/theme/shell/MomentraShellTheme.kt,33,coming_soon,"/** Figma `1075:7556` Circle Coming Soon — pink, not Personal purple. */",SP-013,MomentraShellTheme
Android,apk/app/src/main/java/com/example/momentra/ui/theme/shell/MomentraShellTheme.kt,44,coming_soon,/** Cross-context global surface — NOT a selectable AppContext. Figma Coming Soon `1075:7637`. */,SP-013,MomentraShellTheme
Android,apk/app/src/main/java/com/example/momentra/ui/theme/shell/MomentraShellTheme.kt,50,coming_soon,/** Coming Soon page background — Figma `#14121B`. */,SP-013,MomentraShellTheme
Android,apk/app/src/main/java/com/example/momentra/ui/theme/shell/MomentraShellTheme.kt,63,coming_soon,/** Circle context Coming Soon surface — Figma `1075:7556`. */,SP-013,MomentraShellTheme
Android,apk/app/src/main/java/com/example/momentra/ui/account/AccountHubSheet.kt,171,kotlin_disabled,pinEnabled = false,SP-013,AccountHubSheet
