Domain,MomentId,WidgetOrScreen,Capability,WidgetType,Android,iOS,ApiDeclared,Classification,ApiRoute,FigmaNode,Notes,AuditResult,RegisterGapId
PERSONAL,P2,Pivot,PIVOT_RECORD,ACTIONABLE,Y,Y,Y,PASS_CANDIDATE,POST /v1/moments/:id/future-items,,PX-1 future-precision LIVE; enriched pivotReason,PASS,PER-002
PERSONAL,P2,Progress,PROGRESS_RECORD,ACTIONABLE,Y,Y,Y,PASS_CANDIDATE,POST /v1/moments/:id/future-items,,PX-1 future-precision LIVE; progressType GOAL|MILESTONE|GENERAL,PASS,PER-002
PERSONAL,P2,Learning,LEARNING_ACTIVITY_CREATE,ACTIONABLE,Y,Y,Y,PASS_CANDIDATE,POST /v1/moments/:id/future-items,,PX-1 future-precision LIVE; enriched providerName,PASS,PER-002
PERSONAL,P3,Expense,EXPENSE_CREATE,ACTIONABLE,Y,Y,Y,PASS_CANDIDATE,POST /v1/moments/:id/expenses,,PX-2 Lifestyle precision LIVE (V046),PASS,PER-002
PERSONAL,P3,Experience,LIFESTYLE_ACTIVITY_CREATE,ACTIONABLE,Y,Y,Y,PASS_CANDIDATE,POST /v1/moments/:id/lifestyle-activities,,PX-2 lifestyle-precision LIVE; context=EXPERIENCE; vitality from counts,PASS,PER-002
PERSONAL,P3,Wellbeing,LIFESTYLE_ACTIVITY_CREATE,ACTIONABLE,Y,Y,Y,PASS_CANDIDATE,POST /v1/moments/:id/lifestyle-activities,,PX-2 lifestyle-precision LIVE; context=WELLBEING,PASS,PER-002
PERSONAL,P3,Discovery,LIFESTYLE_ACTIVITY_CREATE,ACTIONABLE,Y,Y,Y,PASS_CANDIDATE,POST /v1/moments/:id/lifestyle-activities,,PX-2 lifestyle-precision LIVE; context=DISCOVERY,PASS,PER-002
PERSONAL,P3,Expression,LIFESTYLE_ACTIVITY_CREATE,ACTIONABLE,Y,Y,Y,PASS_CANDIDATE,POST /v1/moments/:id/lifestyle-activities,,PX-2 lifestyle-precision LIVE; context=CREATION,PASS,PER-002
PERSONAL,P3,Adjust,LIFESTYLE_ACTIVITY_CREATE,ACTIONABLE,Y,Y,Y,PASS_CANDIDATE,POST /v1/moments/:id/lifestyle-activities,,PX-2 lifestyle-precision LIVE; context=LIFESTYLE,PASS,PER-002
PERSONAL,P4,Connection,RELATIONSHIP_ACTIVITY_RECORD,ACTIONABLE,Y,Y,Y,PASS_CANDIDATE,POST /v1/moments/:id/relationship-activities,1006:8274,PX-3 relationships-precision LIVE; bond axes from activity_type counts (no fixed-72),PASS,PER-002
PERSONAL,P4,Support,RELATIONSHIP_ACTIVITY_RECORD,ACTIONABLE,Y,Y,Y,PASS_CANDIDATE,POST /v1/moments/:id/relationship-activities,1006:8274,PX-3 relationships-precision LIVE,PASS,PER-002
PERSONAL,P4,Shared Exp,RELATIONSHIP_ACTIVITY_RECORD,ACTIONABLE,Y,Y,Y,PASS_CANDIDATE,POST /v1/moments/:id/relationship-activities,1006:8274,PX-3 relationships-precision LIVE,PASS,PER-002
PERSONAL,P4,Investment,RELATIONSHIP_ACTIVITY_RECORD,ACTIONABLE,Y,Y,Y,PASS_CANDIDATE,POST /v1/moments/:id/relationship-activities,1006:8274,PX-3 relationships-precision LIVE; investmentValue/unitCode,PASS,PER-002
PERSONAL,P4,Adjust,RELATIONSHIP_ACTIVITY_RECORD,ACTIONABLE,Y,Y,Y,PASS_CANDIDATE,POST /v1/moments/:id/relationship-activities,1006:8274,PX-3 relationships-precision LIVE; INTERACTION adjust,PASS,PER-002
GROUP,G01,Expense,EXPENSE_CREATE,ACTIONABLE,Y,Y,Y,FAMILY_UI_REUSED,POST /v1/moments/:id/group-expenses,,FAMILY_UI_REUSED:GroupExperienceSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G01,Contribute,CONTRIBUTION_RECORD,ACTIONABLE,Y,Y,Y,FAMILY_UI_REUSED,POST /v1/moments/:id/contributions,,FAMILY_UI_REUSED:GroupExperienceSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G01,Settle,SETTLEMENT_RECORD,ACTIONABLE,Y,Y,Y,IMPLEMENTED,POST /v1/moments/:id/settlements,,QH-W LIVE. Shared GroupSettlementSheet for G01–G12 (+ Wedding hub). Lifecycle: outstanding before → write → row → outstanding after → audit → event → outbox → projection → Activity → Pulse/finance. Idempotency + cross-Moment rejection certified.; FAMILY_UI_REUSED:GroupExperienceSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G01,People,PARTICIPANT_MANAGE,ACTIONABLE,Y,Y,Y,FAMILY_UI_REUSED,POST /v1/group/invites,,FAMILY_UI_REUSED:GroupExperienceSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G02,Expense,EXPENSE_CREATE,ACTIONABLE,Y,Y,Y,FAMILY_UI_REUSED,POST /v1/moments/:id/group-expenses,,FAMILY_UI_REUSED:GroupExperienceSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G02,Contribute,CONTRIBUTION_RECORD,ACTIONABLE,Y,Y,Y,FAMILY_UI_REUSED,POST /v1/moments/:id/contributions,,FAMILY_UI_REUSED:GroupExperienceSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G02,Settle,SETTLEMENT_RECORD,ACTIONABLE,Y,Y,Y,IMPLEMENTED,POST /v1/moments/:id/settlements,,QH-W LIVE. Shared GroupSettlementSheet for G01–G12 (+ Wedding hub). Lifecycle: outstanding before → write → row → outstanding after → audit → event → outbox → projection → Activity → Pulse/finance. Idempotency + cross-Moment rejection certified.; FAMILY_UI_REUSED:GroupExperienceSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G02,People,PARTICIPANT_MANAGE,ACTIONABLE,Y,Y,Y,FAMILY_UI_REUSED,POST /v1/group/invites,,FAMILY_UI_REUSED:GroupExperienceSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G03,Expense,EXPENSE_CREATE,ACTIONABLE,Y,Y,Y,FAMILY_UI_REUSED,POST /v1/moments/:id/group-expenses,,FAMILY_UI_REUSED:GroupExperienceSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G03,Contribute,CONTRIBUTION_RECORD,ACTIONABLE,Y,Y,Y,FAMILY_UI_REUSED,POST /v1/moments/:id/contributions,,FAMILY_UI_REUSED:GroupExperienceSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G03,Settle,SETTLEMENT_RECORD,ACTIONABLE,Y,Y,Y,IMPLEMENTED,POST /v1/moments/:id/settlements,,QH-W LIVE. Shared GroupSettlementSheet for G01–G12 (+ Wedding hub). Lifecycle: outstanding before → write → row → outstanding after → audit → event → outbox → projection → Activity → Pulse/finance. Idempotency + cross-Moment rejection certified.; FAMILY_UI_REUSED:GroupExperienceSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G03,People,PARTICIPANT_MANAGE,ACTIONABLE,Y,Y,Y,FAMILY_UI_REUSED,POST /v1/group/invites,,FAMILY_UI_REUSED:GroupExperienceSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G04,Expense,EXPENSE_CREATE,ACTIONABLE,Y,Y,Y,FAMILY_UI_REUSED,POST /v1/moments/:id/group-expenses,,FAMILY_UI_REUSED:GroupExperienceSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G04,Contribute,CONTRIBUTION_RECORD,ACTIONABLE,Y,Y,Y,FAMILY_UI_REUSED,POST /v1/moments/:id/contributions,,FAMILY_UI_REUSED:GroupExperienceSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G04,Settle,SETTLEMENT_RECORD,ACTIONABLE,Y,Y,Y,IMPLEMENTED,POST /v1/moments/:id/settlements,,QH-W LIVE. Shared GroupSettlementSheet for G01–G12 (+ Wedding hub). Lifecycle: outstanding before → write → row → outstanding after → audit → event → outbox → projection → Activity → Pulse/finance. Idempotency + cross-Moment rejection certified.; FAMILY_UI_REUSED:GroupExperienceSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G04,People,PARTICIPANT_MANAGE,ACTIONABLE,Y,Y,Y,FAMILY_UI_REUSED,POST /v1/group/invites,,FAMILY_UI_REUSED:GroupExperienceSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G05,Expense,EXPENSE_CREATE,ACTIONABLE,Y,Y,Y,FAMILY_UI_REUSED,POST /v1/moments/:id/group-expenses,,FAMILY_UI_REUSED:GroupPurchaseSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G05,Contribute,CONTRIBUTION_RECORD,ACTIONABLE,Y,Y,Y,FAMILY_UI_REUSED,POST /v1/moments/:id/contributions,,FAMILY_UI_REUSED:GroupPurchaseSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G05,Settle,SETTLEMENT_RECORD,ACTIONABLE,Y,Y,Y,IMPLEMENTED,POST /v1/moments/:id/settlements,,QH-W LIVE. Shared GroupSettlementSheet for G01–G12 (+ Wedding hub). Lifecycle: outstanding before → write → row → outstanding after → audit → event → outbox → projection → Activity → Pulse/finance. Idempotency + cross-Moment rejection certified.; FAMILY_UI_REUSED:GroupPurchaseSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G05,People,PARTICIPANT_MANAGE,ACTIONABLE,Y,Y,Y,FAMILY_UI_REUSED,POST /v1/group/invites,,FAMILY_UI_REUSED:GroupPurchaseSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G06,Expense,EXPENSE_CREATE,ACTIONABLE,Y,Y,Y,FAMILY_UI_REUSED,POST /v1/moments/:id/group-expenses,,FAMILY_UI_REUSED:GroupPurchaseSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G06,Contribute,CONTRIBUTION_RECORD,ACTIONABLE,Y,Y,Y,FAMILY_UI_REUSED,POST /v1/moments/:id/contributions,,FAMILY_UI_REUSED:GroupPurchaseSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G06,Settle,SETTLEMENT_RECORD,ACTIONABLE,Y,Y,Y,IMPLEMENTED,POST /v1/moments/:id/settlements,,QH-W LIVE. Shared GroupSettlementSheet for G01–G12 (+ Wedding hub). Lifecycle: outstanding before → write → row → outstanding after → audit → event → outbox → projection → Activity → Pulse/finance. Idempotency + cross-Moment rejection certified.; FAMILY_UI_REUSED:GroupPurchaseSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G06,People,PARTICIPANT_MANAGE,ACTIONABLE,Y,Y,Y,FAMILY_UI_REUSED,POST /v1/group/invites,,FAMILY_UI_REUSED:GroupPurchaseSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G07,Expense,EXPENSE_CREATE,ACTIONABLE,Y,Y,Y,FAMILY_UI_REUSED,POST /v1/moments/:id/group-expenses,,FAMILY_UI_REUSED:GroupPurchaseSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G07,Contribute,CONTRIBUTION_RECORD,ACTIONABLE,Y,Y,Y,FAMILY_UI_REUSED,POST /v1/moments/:id/contributions,,FAMILY_UI_REUSED:GroupPurchaseSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G07,Settle,SETTLEMENT_RECORD,ACTIONABLE,Y,Y,Y,IMPLEMENTED,POST /v1/moments/:id/settlements,,QH-W LIVE. Shared GroupSettlementSheet for G01–G12 (+ Wedding hub). Lifecycle: outstanding before → write → row → outstanding after → audit → event → outbox → projection → Activity → Pulse/finance. Idempotency + cross-Moment rejection certified.; FAMILY_UI_REUSED:GroupPurchaseSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G07,People,PARTICIPANT_MANAGE,ACTIONABLE,Y,Y,Y,FAMILY_UI_REUSED,POST /v1/group/invites,,FAMILY_UI_REUSED:GroupPurchaseSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G08,Expense,EXPENSE_CREATE,ACTIONABLE,Y,Y,Y,FAMILY_UI_REUSED,POST /v1/moments/:id/group-expenses,,FAMILY_UI_REUSED:GroupPurchaseSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G08,Contribute,CONTRIBUTION_RECORD,ACTIONABLE,Y,Y,Y,FAMILY_UI_REUSED,POST /v1/moments/:id/contributions,,FAMILY_UI_REUSED:GroupPurchaseSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G08,Settle,SETTLEMENT_RECORD,ACTIONABLE,Y,Y,Y,IMPLEMENTED,POST /v1/moments/:id/settlements,,QH-W LIVE. Shared GroupSettlementSheet for G01–G12 (+ Wedding hub). Lifecycle: outstanding before → write → row → outstanding after → audit → event → outbox → projection → Activity → Pulse/finance. Idempotency + cross-Moment rejection certified.; FAMILY_UI_REUSED:GroupPurchaseSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G08,People,PARTICIPANT_MANAGE,ACTIONABLE,Y,Y,Y,FAMILY_UI_REUSED,POST /v1/group/invites,,FAMILY_UI_REUSED:GroupPurchaseSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G09,Expense,EXPENSE_CREATE,ACTIONABLE,Y,Y,Y,FAMILY_UI_REUSED,POST /v1/moments/:id/group-expenses,,FAMILY_UI_REUSED:GroupLivingSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G09,Contribute,CONTRIBUTION_RECORD,ACTIONABLE,Y,Y,Y,FAMILY_UI_REUSED,POST /v1/moments/:id/contributions,,FAMILY_UI_REUSED:GroupLivingSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G09,Settle,SETTLEMENT_RECORD,ACTIONABLE,Y,Y,Y,IMPLEMENTED,POST /v1/moments/:id/settlements,,QH-W LIVE. Shared GroupSettlementSheet for G01–G12 (+ Wedding hub). Lifecycle: outstanding before → write → row → outstanding after → audit → event → outbox → projection → Activity → Pulse/finance. Idempotency + cross-Moment rejection certified.; FAMILY_UI_REUSED:GroupLivingSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G09,People,PARTICIPANT_MANAGE,ACTIONABLE,Y,Y,Y,FAMILY_UI_REUSED,POST /v1/group/invites,,FAMILY_UI_REUSED:GroupLivingSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G10,Expense,EXPENSE_CREATE,ACTIONABLE,Y,Y,Y,FAMILY_UI_REUSED,POST /v1/moments/:id/group-expenses,,FAMILY_UI_REUSED:GroupLivingSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G10,Contribute,CONTRIBUTION_RECORD,ACTIONABLE,Y,Y,Y,FAMILY_UI_REUSED,POST /v1/moments/:id/contributions,,FAMILY_UI_REUSED:GroupLivingSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G10,Settle,SETTLEMENT_RECORD,ACTIONABLE,Y,Y,Y,IMPLEMENTED,POST /v1/moments/:id/settlements,,QH-W LIVE. Shared GroupSettlementSheet for G01–G12 (+ Wedding hub). Lifecycle: outstanding before → write → row → outstanding after → audit → event → outbox → projection → Activity → Pulse/finance. Idempotency + cross-Moment rejection certified.; FAMILY_UI_REUSED:GroupLivingSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G10,People,PARTICIPANT_MANAGE,ACTIONABLE,Y,Y,Y,FAMILY_UI_REUSED,POST /v1/group/invites,,FAMILY_UI_REUSED:GroupLivingSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G11,Expense,EXPENSE_CREATE,ACTIONABLE,Y,Y,Y,FAMILY_UI_REUSED,POST /v1/moments/:id/group-expenses,,FAMILY_UI_REUSED:GroupLivingSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G11,Contribute,CONTRIBUTION_RECORD,ACTIONABLE,Y,Y,Y,FAMILY_UI_REUSED,POST /v1/moments/:id/contributions,,FAMILY_UI_REUSED:GroupLivingSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G11,Settle,SETTLEMENT_RECORD,ACTIONABLE,Y,Y,Y,IMPLEMENTED,POST /v1/moments/:id/settlements,,QH-W LIVE. Shared GroupSettlementSheet for G01–G12 (+ Wedding hub). Lifecycle: outstanding before → write → row → outstanding after → audit → event → outbox → projection → Activity → Pulse/finance. Idempotency + cross-Moment rejection certified.; FAMILY_UI_REUSED:GroupLivingSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G11,People,PARTICIPANT_MANAGE,ACTIONABLE,Y,Y,Y,FAMILY_UI_REUSED,POST /v1/group/invites,,FAMILY_UI_REUSED:GroupLivingSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G12,Expense,EXPENSE_CREATE,ACTIONABLE,Y,Y,Y,FAMILY_UI_REUSED,POST /v1/moments/:id/group-expenses,,FAMILY_UI_REUSED:GroupLivingSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G12,Contribute,CONTRIBUTION_RECORD,ACTIONABLE,Y,Y,Y,FAMILY_UI_REUSED,POST /v1/moments/:id/contributions,,FAMILY_UI_REUSED:GroupLivingSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G12,Settle,SETTLEMENT_RECORD,ACTIONABLE,Y,Y,Y,IMPLEMENTED,POST /v1/moments/:id/settlements,,QH-W LIVE. Shared GroupSettlementSheet for G01–G12 (+ Wedding hub). Lifecycle: outstanding before → write → row → outstanding after → audit → event → outbox → projection → Activity → Pulse/finance. Idempotency + cross-Moment rejection certified.; FAMILY_UI_REUSED:GroupLivingSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
GROUP,G12,People,PARTICIPANT_MANAGE,ACTIONABLE,Y,Y,Y,FAMILY_UI_REUSED,POST /v1/group/invites,,FAMILY_UI_REUSED:GroupLivingSetup; FIGMA_UNIQUE subtype tile set shares family hub,PASS,GRP-004
BUSINESS,B01,Expense,EXPENSE_CREATE,ACTIONABLE,Y,Y,Y,PASS_CANDIDATE,POST /v1/moments/:id/business-expenses,,,PASS,BUS-014
BUSINESS,B01,Revenue,REVENUE_RECORD,ACTIONABLE,N,Y,Y,CAPABILITY_GAP,POST /v1/moments/:id/revenues,,Revenue primarily mapped to BUSINESS_RUNWAY in V019,GAP,BUS-014
BUSINESS,B01,Invoice,INVOICE_CREATE,ACTIONABLE,N,Y,Y,CAPABILITY_GAP,POST /v1/moments/:id/invoices,,Invoice primarily mapped to BUSINESS_RUNWAY in V019,GAP,BUS-014
BUSINESS,B01,People,MEMBER_MANAGE,ACTIONABLE,Y,Y,Y,PASS_CANDIDATE,GET /v1/companies/:id/members,,Read-only members list; invite flow deferred,PASS,BUS-014
BUSINESS,B02,Expense,EXPENSE_CREATE,ACTIONABLE,Y,Y,Y,PASS_CANDIDATE,POST /v1/moments/:id/business-expenses,,,PASS,BUS-014
BUSINESS,B02,Revenue,REVENUE_RECORD,ACTIONABLE,Y,Y,Y,PASS_CANDIDATE,POST /v1/moments/:id/revenues,,V019 default on BUSINESS_RUNWAY,PASS,BUS-014
BUSINESS,B02,Invoice,INVOICE_CREATE,ACTIONABLE,Y,Y,Y,PASS_CANDIDATE,POST /v1/moments/:id/invoices,,V019 default on BUSINESS_RUNWAY,PASS,BUS-014
BUSINESS,B02,People,MEMBER_MANAGE,ACTIONABLE,Y,Y,Y,PASS_CANDIDATE,GET /v1/companies/:id/members,,Read-only members list; invite flow deferred,PASS,BUS-014
BUSINESS,B03,Expense,EXPENSE_CREATE,ACTIONABLE,Y,Y,Y,PASS_CANDIDATE,POST /v1/moments/:id/business-expenses,,,PASS,BUS-014
BUSINESS,B03,Revenue,REVENUE_RECORD,ACTIONABLE,N,Y,Y,CAPABILITY_GAP,POST /v1/moments/:id/revenues,,Revenue primarily mapped to BUSINESS_RUNWAY in V019,GAP,BUS-014
BUSINESS,B03,Invoice,INVOICE_CREATE,ACTIONABLE,N,Y,Y,CAPABILITY_GAP,POST /v1/moments/:id/invoices,,Invoice primarily mapped to BUSINESS_RUNWAY in V019,GAP,BUS-014
BUSINESS,B03,People,MEMBER_MANAGE,ACTIONABLE,Y,Y,Y,PASS_CANDIDATE,GET /v1/companies/:id/members,,Read-only members list; invite flow deferred,PASS,BUS-014
PERSONAL,P1,Empty,,SCREEN,Y,Y,,PASS_CANDIDATE,,353:6809,,PASS,
PERSONAL,P1,Setup,,SCREEN,Y,Y,,PASS_CANDIDATE,,353:6809,,PASS,
PERSONAL,P1,Pulse,,SCREEN,Y,Y,,PASS_CANDIDATE,,,,PASS,
PERSONAL,P1,Moments,,SCREEN,Y,Y,,PASS_CANDIDATE,,,,PASS,
PERSONAL,P1,Life,,SCREEN,Y,Y,,PASS_CANDIDATE,,,,PASS,
PERSONAL,P1,Memory,,SCREEN,Y,Y,,PASS_CANDIDATE,,,,PASS,
PERSONAL,P1,Activity,,SCREEN,Y,Y,,PASS_CANDIDATE,,,,PASS,
PERSONAL,P2,Empty,,SCREEN,Y,Y,,PASS_CANDIDATE,,353:6905,,PASS,
PERSONAL,P2,Setup,,SCREEN,Y,Y,,PASS_CANDIDATE,,353:6905,,PASS,
PERSONAL,P2,Pulse,,SCREEN,Y,Y,,PASS_CANDIDATE,,,,PASS,
PERSONAL,P2,Moments,,SCREEN,Y,Y,,PASS_CANDIDATE,,,,PASS,
PERSONAL,P2,Life,,SCREEN,Y,Y,,PASS_CANDIDATE,,,,PASS,
PERSONAL,P2,Memory,,SCREEN,Y,Y,,PASS_CANDIDATE,,,,PASS,
PERSONAL,P2,Activity,,SCREEN,Y,Y,,PASS_CANDIDATE,,,,PASS,
PERSONAL,P3,Empty,,SCREEN,Y,Y,,PASS_CANDIDATE,,353:7075,,PASS,
PERSONAL,P3,Setup,,SCREEN,Y,Y,,PASS_CANDIDATE,,353:7075,,PASS,
PERSONAL,P3,Pulse,,SCREEN,Y,Y,,PASS_CANDIDATE,,,,PASS,
PERSONAL,P3,Moments,,SCREEN,Y,Y,,PASS_CANDIDATE,,,,PASS,
PERSONAL,P3,Life,,SCREEN,Y,Y,,PASS_CANDIDATE,,,,PASS,
PERSONAL,P3,Memory,,SCREEN,Y,Y,,PASS_CANDIDATE,,,,PASS,
PERSONAL,P3,Activity,,SCREEN,Y,Y,,PASS_CANDIDATE,,,,PASS,
PERSONAL,P4,Empty,,SCREEN,Y,Y,,PASS_CANDIDATE,,353:7217,,PASS,
PERSONAL,P4,Setup,,SCREEN,Y,Y,,PASS_CANDIDATE,,353:7217,,PASS,
PERSONAL,P4,Pulse,,SCREEN,Y,Y,,PASS_CANDIDATE,,,,PASS,
PERSONAL,P4,Moments,,SCREEN,Y,Y,,PASS_CANDIDATE,,,,PASS,
PERSONAL,P4,Life,,SCREEN,Y,Y,,PASS_CANDIDATE,,,,PASS,
PERSONAL,P4,Memory,,SCREEN,Y,Y,,PASS_CANDIDATE,,,,PASS,
PERSONAL,P4,Activity,,SCREEN,Y,Y,,PASS_CANDIDATE,,,,PASS,
GROUP,G01,Empty,,SCREEN,Y,Y,,FAMILY_UI_REUSED,,575:9761,FAMILY_UI_REUSED:GroupExperienceSetup; FIGMA_UNIQUE subtype — mark EQUIVALENT or PARTIAL after visual compare,PASS,
GROUP,G01,Setup,,SCREEN,Y,Y,,FAMILY_UI_REUSED,,575:9761,FAMILY_UI_REUSED:GroupExperienceSetup; FIGMA_UNIQUE subtype — mark EQUIVALENT or PARTIAL after visual compare,PASS,
GROUP,G01,Pulse,,SCREEN,Y,Y,,FAMILY_UI_REUSED,,,FAMILY_UI_REUSED:GroupExperienceSetup; FIGMA_UNIQUE subtype — mark EQUIVALENT or PARTIAL after visual compare,PASS,
GROUP,G01,Moments,,SCREEN,Y,Y,,FAMILY_UI_REUSED,,,FAMILY_UI_REUSED:GroupExperienceSetup; FIGMA_UNIQUE subtype — mark EQUIVALENT or PARTIAL after visual compare,PASS,
GROUP,G01,Life,,SCREEN,Y,Y,,FAMILY_UI_REUSED,,,FAMILY_UI_REUSED:GroupExperienceSetup; FIGMA_UNIQUE subtype — mark EQUIVALENT or PARTIAL after visual compare,PASS,
GROUP,G01,Memory,,SCREEN,Y,Y,,FAMILY_UI_REUSED,,,FAMILY_UI_REUSED:GroupExperienceSetup; FIGMA_UNIQUE subtype — mark EQUIVALENT or PARTIAL after visual compare,PASS,
GROUP,G01,Activity,,SCREEN,Y,Y,,FAMILY_UI_REUSED,,,FAMILY_UI_REUSED:GroupExperienceSetup; FIGMA_UNIQUE subtype — mark EQUIVALENT or PARTIAL after visual compare,PASS,
