Gap ID,Domain,Module / Surface,Root Gap,Gap Type,Severity,Status,Current / Evidence,Required Closure,Exit / Validation Evidence,Audit Areas,Depends On,Execution Order,Execution Wave,Source Basis
SP-011,Shared Platform,Metrics,Metric catalogue + golden vectors,METRIC_GAP,P0,OPEN,Some formulas/thresholds/windows remain draft or use heuristics/proxies.,"Freeze metric version, inputs, window, formula, thresholds/state mapping and golden fixtures for all V1 metrics.",All deterministic V1 metrics pass golden tests and reconcile to canonical data.,10,"SP-006,SP-009",11,Intelligence Core,Audit Area 10; Group GM0-G04
SP-012,Shared Platform,State Machines,Lifecycle transition certification,BUSINESS_RULE_GAP,P1,OPEN,"Polls, approvals, invites, issues/risks, goals, shares and recurring objects require allowed/forbidden transition proof.",Define transition matrices and enforce server-side state/permission/audit rules.,Allowed and prohibited transitions pass integration tests with audit evidence.,12,"SP-002,SP-004,SP-006",12,Runtime Core,16-area audit Area 12
SP-013,Shared Platform,Mobile Parity,iOS / Android capability parity,CLIENT_GAP,P1,OPEN,Known endpoint and realtime capability asymmetries exist across clients.,Reconcile frozen V1 capabilities and DTO/API wrappers as BOTH/IOS_ONLY/ANDROID_ONLY/MISSING; close required parity.,All launch V1 capabilities classified; required items BOTH or explicitly platform-deferred.,04,"SP-001,SP-002",13,Clients,16-area audit Area 4
SP-014,Shared Platform,E2E Certification,19 moment journeys + backend write proof,TEST_GAP,P0,OPEN,Audit plan records 0/19 Maestro moment journeys executed and backend write verification pending.,"Execute all frozen critical journeys with DB, outbox, projection and UI evidence.",19/19 required journeys pass or approved launch exclusions are explicit; backend write evidence complete.,14,"SP-002,SP-003,SP-005,SP-008,SP-009,SP-010,SP-013",90,Certification,16-area audit preliminary findings
SP-015,Shared Platform,NFR,Performance / resilience / recovery,PERFORMANCE_GAP,P1,OPEN,"Production latency, query plans, pooling, Redis failure, retries, backups and reconnect behavior require certification.","Run p50/p95/p99 and failure-mode tests on critical paths; validate indexes, pool, rate limits, backup/restore and offline/reconnect.",NFR thresholds satisfied or documented exception approved.,15,"SP-005,SP-008,SP-009",91,Certification,16-area audit Area 15
SP-016,Shared Platform,Observability,Logging / telemetry / alerting / release gate,TEST_GAP,P1,OPEN,Release observability and automated regression gate must be proven end-to-end.,"Verify correlation IDs, structured errors, worker/DLQ/projection alerts and CI contract/integration/auth/migration/E2E gates.","Production release gate is automated: Unknown=0, P0=0, regression green.",16,"SP-014,SP-015",99,Certification,16-area audit Area 16
SP-017,Shared Platform,Legacy Cleanup,Unmounted/deprecated route and schema cleanup,LEGACY,P3,DEFERRED,Unmounted duplicate router surfaces and legacy artifacts can create ambiguity.,Remove or explicitly quarantine deprecated/unmounted routes and confirmed orphan schema after release stabilization.,No deprecated surface can be accidentally mounted or used by clients.,"03,07","SP-001,SP-007",120,Post-launch,16-area audit preliminary findings
SP-018,Shared Platform,AI / Provenance,Deferred intelligence honesty,DEFERRED,P2,DEFERRED,AI narrative/pattern/playbook outputs are not universally worker/provenance-backed.,"Keep unavailable intelligence honest-empty/feature-flagged until worker, provenance, evidence and confidence contract exists.",No fabricated AI values; deterministic core functions without AI.,"08,09,10","SP-008,SP-011",110,Deferred,Business and Business Life closure rules
PER-001,Personal,Personal Core,Forward V035-V037 schema implementation,SCHEMA_GAP,P0,OPEN,V035-V037 are promoted to implementation baseline but physical deployment remains pending.,"Implement/review forward SQL, constraints, indexes and RLS for Personal promoted canonical structures.",Latest schema contains all approved Personal structures and migration tests pass.,"05,06","SP-005,SP-006",20,Personal Foundation,Personal POST-RESOLUTION Freeze Gate
PER-002,Personal,Personal Core,Freeze and implement proposed Personal API routes/DTOs,API_GAP,P0,OPEN,Many Personal mapped interactions remain on proposed routes rather than physically frozen runtime contracts.,Freeze OpenAPI/DTOs and implement routes for Personal moment creation and domain setup/observations/commands.,Every actionable Personal widget has a concrete mounted route or explicit static/deferred classification.,"02,03","PER-001,SP-001,SP-002",21,Personal Foundation,"Personal 1,979 widget mapping; Blocker Register"
PER-003,Personal,Life Operations,Recovery observation/detail runtime,API_GAP,P1,OPEN,"Life Operations recovery widgets map to proposed recovery-observation routes and promoted schema, not proven runtime.",Implement recovery observation/detail command/read contracts and projection refresh.,Recovery capture persists canonically and Pulse/Life/Memory refresh correctly.,"02,08,14","PER-001,PER-002,SP-008,SP-009,SP-010",30,Personal Vertical,Personal Row Validation Register
PER-004,Personal,Future Building,D04 Future Building extensions,DATA_GAP,P1,OPEN,Future Building still has a unique product/data decision family and previously missing canonical fields.,"Close D04 against frozen UI; implement canonical fields, commands and reads without inventing alternate storage.",Future Building setup/quick adds/read models have complete traceability and runtime tests.,"01,02,05,10","PER-001,PER-002,SP-011",31,Personal Vertical,Personal Freeze Gate D04
PER-005,Personal,Lifestyle,Lifestyle profile/setup persistence,SCHEMA_GAP,P1,OPEN,Lifestyle setup is design-ready but personal.lifestyle_profile and route/transport are not in earlier physical baseline.,Deploy promoted Lifestyle profile schema and setup route/DTO; validate RLS and refresh.,Lifestyle setup saves/loads all frozen fields and projections update.,"02,05,06,08","PER-001,PER-002,SP-009,SP-010",32,Personal Vertical,Personal Blocker Register Lifestyle
PER-006,Personal,Relationships,D05 Relationship profile,DATA_GAP,P1,OPEN,Relationship profile remains a unique unresolved product/data decision family.,Close D05 and implement frozen profile canonical/API/read contract.,Relationship profile widgets have complete canonical trace and E2E evidence.,"01,02,05","PER-001,PER-002",33,Personal Vertical,Personal Freeze Gate D05
PER-007,Personal,Relationships,D06 target/tag/edit matrix,BUSINESS_RULE_GAP,P1,OPEN,Relationship target/tag/edit semantics remain a unique unresolved decision family.,"Freeze editable fields, target/tag semantics, validations and update commands.",Create/edit/target/tag lifecycle tests pass and UI reflects authoritative state.,"01,02,12","PER-006,SP-012",34,Personal Vertical,Personal Freeze Gate D06
PER-008,Personal,Personal Analytics,D07 logic/enum/formula catalogue,METRIC_GAP,P0,PARTIAL,Pulse-surface formula catalogue frozen (V058 + PERSONAL_PHASE7_PULSE_METRIC_MAP); full 727-metric pack deferred.,"Freeze enum catalogue, derivation formulas, thresholds and versioned metrics; implement server-side. Pulse subset seeded; expand beyond Pulse only when evidence gates are real.",Personal Pulse/Life/Memory deterministic outputs pass golden fixtures.,10,"SP-011,PER-001",35,Personal Intelligence,Personal Freeze Gate D07; Pulse curated PMETs IMP-01
PER-009,Personal,Personal Projections,Pulse / Life / Memory projection implementation,PROJECTION_GAP,P0,OPEN,Personal production is explicitly not final until projection implementation is completed.,Implement/promote Personal read models with freshness/version and refetch semantics.,Personal canonical writes deterministically update Pulse/Life/Memory and visible UI.,"08,13,14","PER-002,PER-003,PER-004,PER-005,PER-006,PER-008,SP-009,SP-010",45,Personal Integration,Personal Freeze Gate production status
PER-010,Personal,Personal E2E,Personal V1 vertical certification,TEST_GAP,P0,OPEN,"Frozen UI/interaction mapping exists, but production-final behavior requires runtime proof.","Run Personal creation, setup, Quick Add, edit, Pulse, Life, Memory and Action Center flows with DB/projection evidence.",Personal launch journeys pass with no unknown mappings.,14,"PER-009,SP-014",92,Certification,16-area audit Area 14
GRP-001,Group,Poll Kernel,Shared Poll physical target / transition,SCHEMA_GAP,P0,OPEN,V001-V030 has collaboration.poll family while freeze requires shared Poll kernel after V032; dual-engine ambiguity is prohibited.,Complete shared Poll physical target and migration; reconcile canonical writer/reader.,One poll canonical path is active; no silent dual-engine persistence.,"05,06,12","SP-005,SP-006",20,Group Foundation,GM0-G01
GRP-002,Group,Group Analytics,Production metric semantics,METRIC_GAP,P0,OPEN,Metric versions/formulas/thresholds remain draft in Group release status. Phase 13 Lean product analytics (V059–V068) is a separate track — see docs/implementation/GROUP_PULSE_DET_VS_PHASE13_LEAN.md; Lean does not close GRP-002.,Freeze Group Pulse DET metric catalogue and implement deterministic analytics/projection calculations (mirror Personal Phase 7). Do not treat Lean KPIs 20/30–35 as Pulse health scores.,Group Pulse DET golden vectors pass and client displays server-authoritative values.,10,"SP-011,GRP-001",25,Group Foundation,GM0-G04; distinct from Phase13 Lean
GRP-003,Group,Group Governance,Policy / approval threshold semantics,BUSINESS_RULE_GAP,P0,OPEN,Policy versions/rules/approval thresholds remain draft.,Freeze server governance policy catalogue and bind approval/eligibility rules to it.,No governed Group action relies on hardcoded UI eligibility; transition tests pass.,"11,12","SP-004,SP-012",26,Group Foundation,GM0-G05
GRP-004,Group,Quick Add,Subtype capability reconciliation,CLIENT_GAP,P1,OPEN,"Final per-Moment-Type Quick Add subsets must be reconciled to the frozen 4,210-widget authority.",Reconcile each Group moment type Quick Add capability with frozen mapping and runtime enablement.,No enabled unsupported action and no frozen required action omitted.,"01,02,04","GRP-002,GRP-003,SP-013",30,Group Vertical,GM0-G02
GRP-005,Group,Roles & Permissions,Frozen role/permission reconciliation,AUTH_GAP,P1,OPEN,Current role/permission matrix may differ from frozen governance authority; action widgets remain partial until confirmed.,Map every action widget to permission code/path and enforce server-side.,Positive/negative role tests pass for all governed Group commands.,11,"GRP-003,SP-003,SP-004",31,Group Vertical,GM0-G03
GRP-006,Group,Collaboration Quick Adds,Explicit command routes/DTOs,API_GAP,P0,OPEN,Canonical tables exist for booking/vendor/attendance/planning/update/purchase/living actions but explicit command contracts are incomplete.,Freeze and implement explicit /v1 routes and DTOs for collaboration quick adds; remove generic fallbacks.,Each frozen Quick Add lands in intended canonical fact and refreshes projections.,"02,03,05,14","GRP-001,GRP-003,SP-001,SP-002,SP-006,SP-008",32,Group Vertical,GM0-G06
GRP-007,Group,Settlement,Settlement HTTP contract,API_GAP,P0,OPEN,"Finance settlement canonicals exist and UI has a multi-screen settlement flow, but explicit endpoint is a contract gap.",Freeze settlement commands/read DTOs with server-side validation and authorization.,Settlement E2E creates valid allocations/obligations and refreshes Finance/Life.,"02,03,12,14","GRP-005,SP-002,SP-006,SP-008",33,Group Vertical,GM0-G07
GRP-008,Group,Group Projections,Widget-level projection contract granularity,PROJECTION_GAP,P1,OPEN,group_* projections may use payload blobs while exact widget-specific payload contract is unspecified for partial rows.,Freeze projection DTO/payload schemas for Pulse/Life/Memory/Finance/recent activity and bind clients.,All read widgets have exact projection fields and freshness/refetch semantics.,"08,13","GRP-002,GRP-006,GRP-007,SP-009,SP-010",45,Group Integration,GM0-G08
GRP-009,Group,Runtime Engine,Production engine execution,TEST_GAP,P0,OPEN,Release status states V001-V030 were not executed end-to-end on clean PostgreSQL/Dev Supabase.,"Execute full Group schema/runtime engine and verify writes, workers, projections and reads.",Clean environment Group deployment and critical E2E suite pass.,"06,09,14","GRP-001,GRP-006,GRP-007,GRP-008,SP-014",93,Certification,GM0-G09
BUS-001,Business,Team Operations,Explicit Decision / Meeting / Retrospective / Activity commands,API_GAP,P0,OPEN,These Quick Adds currently use generic business-updates closest writer.,Implement first-class commands and canonical work/business facts; rewire clients.,"Each action persists intended canonical fact, emits outbox and refreshes projections.","02,03,05,09,14","SP-002,SP-006,SP-008",30,Business Vertical,Business Closure rows 7-10 / CL-13
BUS-002,Business,Team Operations,Recognition canonical contract,SCHEMA_GAP,P0,OPEN,Recognition currently uses generic business-update and requires canonical schema/API.,Create business.recognition and first-class command; rewire client.,Recipient/type/message persist canonically and appear in downstream reads.,"02,03,05,06,14","SP-005,SP-006,SP-008",31,Business Vertical,Business Closure row 11 / CL-14
BUS-003,Business,Team Operations,Milestone client rewire,CLIENT_GAP,P0,OPEN,First-class milestone route exists but client uses closest-writer fallback.,Wire frozen Milestone sheet to milestone endpoint and remove fallback.,Milestone row created with no business_update write.,"02,04,14","SP-013,SP-002",32,Business Vertical,Business Closure row 12 / CL-16
BUS-004,Business,Team Operations,Blocker vs Risk semantics,BUSINESS_RULE_GAP,P1,OPEN,Issue route exists; Risk Flag semantics may require canonical risk rather than issue.,Validate UI semantic selection and route risk actions to canonical risk command.,Risk Flag creates risk when risk semantics selected; blocker remains issue.,"05,12","SP-006,SP-012",33,Business Vertical,Business Closure row 13 / CL-13
BUS-005,Business,Team Operations,Business poll participant/anonymity validation,AUTH_GAP,P1,OPEN,Poll is first-class but Group-style membership assumptions may fail in Business participant scope.,"Validate company/team participant scope, anonymity and read DTO authorization.",Authorized Business participants vote/read correctly; unauthorized cannot.,"11,12","SP-003,SP-004,SP-012",34,Business Vertical,Business Closure row 14 / CL-17
BUS-006,Business,Team Operations,Capacity / workload metrics,METRIC_GAP,P1,OPEN,Capacity and workload Pulse values are missing/honest-empty.,Implement team_capacity_utilization_v1 and rolling workload-by-department metrics; bind Pulse DTO.,Golden metric tests pass and non-empty values reconcile to assignments/capacity.,"08,10","SP-009,SP-011",40,Business Reads,Business Closure rows 0-1 / CL-12
BUS-007,Business,Team Operations,Roster / share / weekly report,API_GAP,P1,OPEN,"Recipient roster missing, share is no-op/disabled, weekly report CTA is miswired.","Implement membership read, audited share/notify command and weekly report projection/read; wire clients.","Roster scoped correctly, share audited/delivered, report CTA opens reconciled data.","02,03,08,11,14","SP-003,SP-009,SP-013",41,Business Reads,"Business Closure rows 3,5,6 / CL-11,CL-40"
BUS-008,Business,Business Runway,Runway deltas / progress snapshot metrics,METRIC_GAP,P1,OPEN,MoM/trend deltas unbound and progress snapshot uses missing/heuristic values.,"Implement comparison windows, collections/health metrics and bind runway Pulse DTO.",Golden previous-period tests pass and snapshot reconciles to invoices/cash/burn.,"08,10","SP-009,SP-011",42,Business Reads,"Business Closure rows 15-16 / CL-25,CL-37"
BUS-009,Business,Business Runway,Tax obligation first-class fact,SCHEMA_GAP,P0,OPEN,"Tax Entry is persisted as expense category TAX, conflating obligation with payment fact.",Implement finance.tax_obligation and company tax-obligation command; expense remains payment only.,Tax type/period/due/status persist independently and reconcile to payments.,"02,05,06,14","SP-005,SP-006",35,Business Vertical,Business Closure row 19 / CL-21
BUS-010,Business,Business Runway,Investor update first-class contract,SCHEMA_GAP,P0,OPEN,Investor Update uses generic business-updates.,Implement structured investor update/dispatch with audience and delivery status.,Audience/content/dispatch/audit persist canonically.,"02,05,06,14","SP-005,SP-006,SP-008",36,Business Vertical,Business Closure row 20 / CL-22
BUS-011,Business,Business Runway,Budget alert semantics,BUSINESS_RULE_GAP,P0,OPEN,Budget Alert is persisted as issue/severity rather than budget/metric threshold event.,"Implement budget alert contract tied to budget, threshold, period and evidence; issue may be consequence only.",Alert reconciles to budget/metric evidence and downstream notification.,"05,10,12","SP-006,SP-011,SP-012",37,Business Vertical,Business Closure row 21 / CL-23
BUS-012,Business,Business Runway,Forecast scenario/lines canonical contract,SCHEMA_GAP,P0,OPEN,Forecast Update uses generic business-update and lacks versioned scenario/line semantics.,Implement finance.forecast_scenario + forecast_line and company forecast command.,Versioned forecast drives runway projection and versioning tests pass.,"02,05,06,08","SP-005,SP-006,SP-009",38,Business Vertical,Business Closure row 22 / CL-20
BUS-013,Business,Business Operations,Budget review canonical semantics,BUSINESS_RULE_GAP,P0,OPEN,Budget Review uses generic business-update.,"Implement budget review against budget/review canonical semantics, tied to period/variance/notes and finance facts.",Review is auditable and reconciles to budget facts.,"02,05,12","SP-006,SP-012",39,Business Vertical,Business Closure row 27 / CL-23
BUS-014,Business,Business Operations,Vendor / SLA existing-selection UX,CLIENT_GAP,P1,OPEN,"First-class vendor/SLA routes exist but UX often creates new vendor, risking duplicates.",Rewire UI to select existing vendor/contract/SLA definition before update/check; create only explicitly.,Existing chain can be selected/updated without duplicate vendor creation.,"01,02,04","SP-013,SP-002",43,Business UX,"Business Closure rows 28-29 / CL-27,CL-28"
BUS-015,Business,Business Operations,Issue evidence persistence,API_GAP,P1,OPEN,Issue exists first-class but evidence/attachment affordance is UI-only.,Bind evidence to supported media/evidence contract or remove affordance until contract exists.,Authorized evidence reference persists and renders.,"02,03,05,11","SP-003,SP-006",44,Business UX,"Business Closure row 30 / CL-26,CL-40"
BUS-016,Business,Business Operations,Reminder / escalation + share commands,API_GAP,P1,OPEN,Escalate/send reminder labels and Memory Share lack complete audited delivery behavior.,Implement notification/governance commands and audited share semantics; otherwise remove actionable affordance.,Authorized action produces audited delivery and stable error behavior.,"02,03,11,12","SP-002,SP-003,SP-012",46,Business Integration,Business Closure rows 25-26 / CL-40
BUS-017,Business,Company Life,Company-scoped Life route correction,API_GAP,P0,OPEN,Runtime uses moment-scoped Life semantics; finalized design requires company-scoped B-L01.,Move Business Life to GET /v1/companies/{companyId}/life; prohibit removed family/moment Life routes; enforce company auth.,Only company route serves B-L01; cross-company negative tests pass.,"02,03,11,14","SP-001,SP-003",47,Business Life,"Business Life LIFE-01,LIFE-14,LIFE-16"
BUS-018,Business,Company Life,Versioned DTO / module cards / activity / freshness,PROJECTION_GAP,P0,OPEN,"Life payload is thin/proxy; core module cards, activity and freshness/version are incomplete.","Implement versioned Company Life DTO/projection with module cards, company activity, projectionVersion/updatedAt/status.",Core cards/activity are server-authoritative and projection-consistent.,"08,13","BUS-017,SP-009,SP-010",48,Business Life,"Business Life Wave 1 / LIFE-02,04,05,06,09,15"
BUS-019,Business,Company Life,business_life_health_v1 + signals,METRIC_GAP,P0,OPEN,Health/signal values use proxy/thin semantics rather than frozen deterministic metric and evidence taxonomy.,Implement business_life_health_v1 plus signal taxonomy/ranking/evidence on server.,Golden health/signal tests pass; no client proxy calculations.,10,"BUS-018,SP-011",49,Business Life,"Business Life Wave 2 / LIFE-03,LIFE-08"
BUS-020,Business,Company Life,Trends / journey / vendor support,PROJECTION_GAP,P1,OPEN,"Six-month trends, journey inclusion and vendor supporting payload semantics require deterministic closure.","Implement versioned trend series, journey rules/order and vendor supporting payload.",Trends/journey reconcile to canonical history; vendor payload does not alter v1 health unexpectedly.,"08,10","BUS-018,BUS-019",50,Business Life,"Business Life Wave 3 / LIFE-07,10,11"
BUS-021,Business,Company Life,Share + detailed report,API_GAP,P1,OPEN,Company Life Share and Detailed Report actions are not fully implemented/wired.,Implement authorized/audited share and report read tied to same Life snapshot/version.,Share is auditable/idempotent; report reconciles to Life snapshot.,"02,03,11,14","BUS-018,SP-003,SP-002",51,Business Life,"Business Life Wave 4 / LIFE-12,LIFE-13"
BUS-022,Business,Business Integration,Business write -> outbox -> projection -> refetch,REFRESH_GAP,P0,OPEN,Business closure pack explicitly requires proof for all remediated writers.,"For every Business P0/P1 writer prove canonical write, outbox event, projection update and client refetch.",No successful Business write leaves stale canonical UI.,"09,13,14","BUS-001,BUS-002,BUS-003,BUS-009,BUS-010,BUS-011,BUS-012,BUS-013,BUS-017,BUS-018,SP-008,SP-009,SP-010",60,Business Integration,"Business Closure row 33 / CL-13,CL-40"
BUS-023,Business,Business E2E,Business release-blocker certification,TEST_GAP,P0,OPEN,Business packs require every P0/P1 blocker closed with validation evidence.,"Execute contract/integration/auth/metric/projection/mobile E2E validations for Team Ops, Runway, Operations and Company Life.",All Business P0/P1 blocker rows CLOSED with evidence; deferred AI remains honest-empty.,"14,16","BUS-022,BUS-006,BUS-007,BUS-008,BUS-014,BUS-015,BUS-016,BUS-019,BUS-020,BUS-021,SP-014",95,Certification,Business Closure Packs release rule
